,Code,Identifier,Latitude,Longitude,daily max,ciggy
0,1.0,1,34.1365,-117.92391,0.09997815537668774,0.015143357934388969
1,2.0,1a,34.1365,-117.92391,0.3285135279478871,0.04975884903317329
2,3.0,1b,34.1365,-117.92391,0.47416222126390284,0.07181977111410581
3,4.0,2,34.1365,-117.92391,0.1364438285283981,0.020666691894434697
4,5.0,2a,34.1365,-117.92391,0.061776517012081644,0.009357083110096632
5,6.0,2b,34.1365,-117.92391,0.17657723848865015,0.026745565723080875
6,7.0,3,34.1365,-117.92391,0.03855941970443513,0.0058404667712317745
7,8.0,3a,34.1365,-117.92391,0.11335565889092454,0.017169603800012034
8,9.0,4,34.1365,-117.92391,0.005570026271387973,0.0008436733125728983
9,10.0,4b,34.1365,-117.92391,0.4671650385571428,0.07075993117345522
10,11.0,4a,34.1365,-117.92391,0.11360608760014489,0.017207535401835276
11,12.0,5,34.1365,-117.92391,0.2060196174385134,0.031205104721353495
12,13.0,6,34.1365,-117.92391,0.02011400309598581,0.003046601002271984
13,14.0,6a,34.1365,-117.92391,0.23822818249715078,0.03608362870890177
14,15.0,6b,34.1365,-117.92391,0.247073786420287,0.0374234428497928
15,16.0,6v,34.1365,-117.92391,0.1821007884612833,0.027582199425602378
16,17.0,7,34.1365,-117.92391,0.2537042827995476,0.0384277420347048
17,18.0,8,34.1365,-117.92391,0.3556758899515344,0.05387304146465907
18,19.0,8a,34.1365,-117.92391,0.13634708907947535,0.020652039092571198
19,20.0,12,34.1365,-117.92391,0.2971207465461229,0.04500388907685275
20,21.0,13,34.1365,-117.92391,0.22527454430602797,0.03412158431088637
21,22.0,14,34.1365,-117.92391,0.010271041652363233,0.001555720442277951
22,23.0,15,34.1365,-117.92391,0.28831584296262003,0.04367023968073818
23,24.0,16,34.1365,-117.92391,0.28290449071279855,0.04285060019329855
24,25.0,17,34.1365,-117.92391,0.26290210369824246,0.03982090530682712
25,26.0,18,34.1365,-117.92391,0.046069755987657834,0.006978032373597239
26,27.0,19,34.1365,-117.92391,0.12226908571838618,0.01851969085014489
27,28.0,20,34.1365,-117.92391,0.45125425504031913,0.068349977830107
28,29.0,21,34.1365,-117.92391,1.0854361761274096,0.16440739947743163
29,30.0,22,34.1365,-117.92391,0.3260603150041646,0.049387269045964126
30,31.0,23,34.1365,-117.92391,0.43797096684787234,0.06633800244522439
31,32.0,24,34.1365,-117.92391,0.1004663450388665,0.015217302395220313
32,33.0,25,34.1365,-117.92391,0.09952090759804384,0.01507410013751704
33,34.0,26,34.1365,-117.92391,0.02050936887005703,0.003106485738184638
34,35.0,27,34.1365,-117.92391,0.28377480792951043,0.042982424241056506
35,36.0,28,34.1365,-117.92391,0.1842516415737923,0.027907981977043743
36,37.0,29,34.1365,-117.92391,0.2453868652257123,0.03716793051952122
37,38.0,30,34.1365,-117.92391,0.2641007960985118,0.04000246724905458
38,39.0,31,34.1365,-117.92391,0.1593519132478699,0.024136503126610694
39,40.0,32,34.1365,-117.92391,0.23204879442923854,0.03514765739621532
40,41.0,33,34.1365,-117.92391,0.2485808810930199,0.03765171745622274
41,42.0,34,34.1365,-117.92391,0.019974835929879364,0.0030255218155123944
42,43.0,35,34.1365,-117.92391,0.23487363111056317,0.035575525992213294
43,44.0,36,34.1365,-117.92391,0.19680617985538962,0.029809576042096348
44,45.0,37,34.1365,-117.92391,0.16563123311334085,0.02508761077556736
45,46.0,38,34.1365,-117.92391,0.38343953878987636,0.0580783088087066
46,47.0,39,34.1365,-117.92391,0.29288860976881526,0.04436286142631655
47,48.0,40,34.1365,-117.92391,0.09442939147351531,0.014302905161855117
48,49.0,41,34.1365,-117.92391,0.07931758011485741,0.012013969468063735
49,50.0,42,34.1365,-117.92391,0.20950192341232576,0.031732557999520274
50,51.0,43,34.1365,-117.92391,0.12000594667614771,0.01817690072321384
51,52.0,44,34.1365,-117.92391,0.06956721546758336,0.010537114236156627
52,53.0,45,34.1365,-117.92391,0.33229965832869135,0.05033232158151912
53,54.0,46,34.1365,-117.92391,0.18879669237489485,0.028596405671717406
54,55.0,47,34.1365,-117.92391,0.36416395357389875,0.05515870016799319
55,56.0,48,34.1365,-117.92391,0.018601650880993414,0.0028175300534411356
56,57.0,49,34.1365,-117.92391,0.1772238725410197,0.026843509227546452
57,58.0,50,34.1365,-117.92391,0.4852190441812986,0.07349451122532735
58,59.0,51,34.1365,-117.92391,0.01155634868691846,0.0017504016144452494
59,60.0,52,34.1365,-117.92391,0.058414178204605,0.00884780085872417
60,61.0,53,34.1365,-117.92391,0.1347007421620578,0.02040267241281302
61,62.0,54,34.1365,-117.92391,0.275696738095782,0.04175886593024111
62,63.0,55,34.1365,-117.92391,0.13632742470652956,0.02064906059554901
63,64.0,56,34.1365,-117.92391,0.18763185125374335,0.028419971069900327
64,65.0,57,34.1365,-117.92391,0.11739312642521274,0.017781145549205554
65,66.0,58,34.1365,-117.92391,0.06736483466301442,0.010203526956957917
66,67.0,59,34.1365,-117.92391,0.16275516934361045,0.02465198298324553
67,68.0,60,34.1365,-117.92391,0.06637808021643193,0.010054066550115556
68,69.0,61,34.1365,-117.92391,0.1952852350067891,0.029579203595694985
